SuperMarty project - Error Log,,,,,,
Error Title,Error,Warning,Formula bar ,Description,Status,Last Check
Roadmap Checks,,,,,,
Roadmap MVP-MMR columns not correctly deleted,True,,,"This error will count the numbers of columns in tab ""Roadmap"" , you need to choose from one of plans - MVP,MMR,MLP,MAP - and then you have to delete all of the columns that not related to your plan , this error will notice you that if you didn't delete the columns correctly , This cell will show ""Yes"" text.",TRUE,26/10/2023
Not entered actual delivered date deadlines,#REF!,,,"This error will count the number of actual delivered date deadlines in ""Roadmap"" tab . It goes to the roadmap tab and if there were empty cells in the column ""Actual delivered date"" , will count them and shows the number of empty cells.",TRUE,06/11/2023
Overdue deadlines,8,22,,"This formula will count the numbers of overdue deadlines in tab ""Roadmap"" . We got 2 columns in roadmap tab named  ""Estimated delivery date"" and ""Actual delivered date"" . This formula goes and compares the diffrence between 2 columns aand if actual delivered date was passed the estimated delivery date for 2 weeks , you'll see the count of overdue deadlines in warning column , and if the actual delivered date was passed the estimated delivery date for 4 weeks , you'll see the count of overdue deadlines in Error column in here. ",TRUE,26/10/2023
Project deadline in risk with current resources,,,,"This formula will work on overdue deadline of the project. We have a section in ""Roadmap settings"" tab named ""Project deadline"" . If you entered some date in it , this formula will record it and compare it with the final estimated deadline in column AP:AP tab ""Roadmap"" . If the diffrence between two dates were 2 weeks or less than 2 weeks , you'll see the ""Yes"" word on warning column , But if the diffrence were more than 2 weeks , you'll see the word ""Yes"" on error column. If you don't enter any deadlines in ""Roadmap settings"" tab , you'll see nothing.",TRUE,26/10/2023
Team Performance Checks,,,,,,
Roadmap hours estimation is not accurate (If actual speed is much higher or lower than expected).,4,6,,"This error will count the numbers of unexpected high or low rates of performance output . We have a tab named ""Team Performance"" , In this tab there is a column named ""Performance Output "" B:B column . If someone performance were more than 150% or less than 50% , this formula will show you the numbers of unexpected rates of rows in ""Error"" column , and if someones performance was more than 125% or less than 75% , it will count the errors in ""Warning"" column.",TRUE,26/10/2023
Teammember(s) has low work quality,,2,,"This error will count the numbers of low work quality for you. In the ""Team performance"" tab , we have a column named ""Work quality"" G:G , If there were some data with ""Bad"" text , they'll count on ""Error"" column , and if there were some data with ""Below par"" text , they'll be shown on ""Warning"" column.",TRUE,26/10/2023
Teammember(s) has low testing quality (high rejection rate),,1,,"This error will count the numbers of low testing quality for you. In the ""Team performance"" tab , we have a column named ""Testing"" I:I , If there were some data with ""Bad"" text , they'll count on ""Error"" column , and if there were some data with ""Below par"" text , they'll be shown on ""Warning"" column.",TRUE,26/10/2023
Teammember(s) has low teamwork quality,,,,"This error will count the numbers of low teamwork quality for you. In the ""Team performance"" tab , we have a column named ""Teamwork"" J:J , If there were some data with ""Bad"" text , they'll count on ""Error"" column , and if there were some data with ""Below par"" text , they'll be shown on ""Warning"" column.",TRUE,26/10/2023
Teammember(s) has low core values quality,,,,"This error will count the numbers of low core values quality for you. In the ""Team performance"" tab , we have a column named ""Core values"" M:M , If there were some data with ""Bad"" text , they'll count on ""Error"" column , and if there were some data with ""Below par"" text , they'll be shown on ""Warning"" column.",TRUE,26/10/2023
Teammember(s) has low conflict management quality,,,,"This error will count the numbers of low conflict management quality for you. In the ""Team performance"" tab , we have a column named ""Conflict Management"" P:P , If there were some data with ""Bad"" text , they'll count on ""Error"" column , and if there were some data with ""Below par"" text , they'll be shown on ""Warning"" column.",TRUE,26/10/2023
Meetings Checks,,,,,,
Project is in progress but no sprint meetings are recorded.,Yes,Yes,,"In this formula , you can check for the meetings dates and their relignment with project status and sprint cycle. In the tab ""Roadmap settings"" we got 2 section , project status and sprint cycle. If the project status was on ""On progress"" and the sprint cycle was on ""Weekly"" this formula will work 2 models. The first one is it will go on ""Meetings"" tab and searches thorugh meetings dates , if there were meetings that set for last 7 days from today , it will show nothing , other wise you should see ""Yes"" word in warning column , and The second is if some meetings were set for last 14 days from today , it will show nothing , otherwise you'll see ""Yes"" as an error message at error column.   The other sprint cycle is ""Every 2 weeks"" , if you choose this sprint cycle , the formula will search for last 14 days from today and if there were some meetings , you see nothing , but if there were no meeting , you'll see ""Yes"" at warning column . In addition , if you choose ""Every 2 weeks"" as your sprint cycle , the formula will also search for 28 days from today meetings and if there were nothing , you will see ""Yes"" at error column.                                                                                                                                                                                            ",TRUE,26/10/2023
Project is in maintanance but no monthly progress is recorded.,Project not in maintenance,Project not in maintenance,,"In this formula , you can check for the meetings dates and their relignment with project status and sprint cycle. In the tab ""Roadmap settings"" we got 2 section , project status and sprint cycle. If the project status was on ""In maintenance"" and the sprint cycle was on ""Weekly"" this formula will work 2 models. The first one is it will go on ""Meetings"" tab and searches thorugh meetings dates , if there were meetings that set for last 14 days from today , it will show nothing , other wise you should see ""Yes"" word in warning column , and The second is if some meetings were set for last 28 days from today , it will show nothing , otherwise you'll see ""Yes"" as an error message at error column.   The other sprint cycle is ""Every 2 weeks"" , if you choose this sprint cycle , the formula will search for last 28 days from today and if there were some meetings , you see nothing , but if there were no meeting , you'll see ""Yes"" at warning column . In addition , if you choose ""Every 2 weeks"" as your sprint cycle , the formula will also search for 56 days from today meetings and if there were nothing , you will see ""Yes"" at error column.                                                                                                                                                                                            ",TRUE,26/10/2023
Action points Checks,,,,,,
Overdue action points and checkboxes ,6,,,"In the tab of ""Action points"" we have a column named ""Deadline"" - Column D . This formula goes thorugh that column and compares that deadlines with the date of Today , If some deadlines were before today , will count and show you the number of overdue deadlines. In addition , this formula will also count the unfilled checkboxes in A:A column at ""Action points"" tab.",TRUE,26/10/2023
